title,link
Typisch🚦: Auch im Verkehr völlig ideologiegetrieben! René Bochmann - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ZmIELW8dmhM
Lobbyismus-Industrie - Geldströme offenlegen und kontrollieren! - Thomas Seitz - AfD-Fraktion im BT,https://www.youtube.com/watch?v=dOPw3dZGi3E
Die Bürokratie in unserem Land ist unerträglich! Dr. Christian Wirth - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=R0TM5Y2toT0
💥💶Strompreis: An Doppelmoral ist das nicht mehr zu überbieten! Bernd Schattner - AfD-Fraktion BT,https://www.youtube.com/watch?v=zPeGoXCHoMY
Deutschland moralisiert sich zu Tode! Jürgen Braun - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=svikkW9UK_g
Frieden für die Koreanische Halbinsel - Petr Bystron - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=VnVnNyZM0Pc
🇩🇪🔥Deutschland brennt und Faeser macht Urlaub🏖 auf Mallorca! Martin Hess- AfD-Fraktions-TV🎙,https://www.youtube.com/watch?v=40ck02SuwzA
Dr. Rainer Kraft rechnet mit dem Wasserstoff-Märchen der🚦-Regierung ab! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=2RtmDlQL_OE
Es braucht den gleichgeschalteten Leviathan aus Brüssel nicht! Thomas Seitz AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=sQrGo5bLa7I
"Sie präsentieren eine parlamentarische Scharade!, Thomas Seitz - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=xwfR8tAZgD4
Wir als AfD stehen zu unseren Bauern! Frank Rinck - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=D_3qoQdKs2w
Die Ampel träumt weiter den Schlaf der Selbstgerechten… Rüdiger Lucassen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ZaEngBcgqSU
"Ampel-Politik: ignorant, dumm, böswillig - Karsten Hilse - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=xW9R9q6OC-w
Dieses Gesetz ist ein Etikettenschwindel! - Thomas Dietz - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=hlf6GXxNFpE
Das ist ein Offenbarungseid des Rechtsstaates! Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=DVAGTs8EKfw
Clubs in Wohngebieten? Den Linken ist die Ruhestörung egal! Roger Beckamp - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=C8iJH02jubY
Gut gemeint ist noch nicht gut gemacht!  - Jörn König - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=-jJtDFN6BCw
Die Regierung gefährdet Freiheit und Demokratie! - Jan Nolte - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=5wT6wxBqV4I
Feministische Reflexe? Baerbock und ihre lächerliche🚫 Außenpolitik… Steffen Kotré - AfD-Fraktion BT,https://www.youtube.com/watch?v=MofavBzDEX0
"Das dümmste, was man mit Steuergeldern machen kann! - Dr. Dirk Spaniel - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=UsBrok01BbY
