title,link,length in sec,views,publish-date,thumbnail-Url
Typisch🚦: Auch im Verkehr völlig ideologiegetrieben! René Bochmann - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ZmIELW8dmhM,188,18690,2023-10-26,https://i.ytimg.com/vi/ZmIELW8dmhM/hq720.jpg
Lobbyismus-Industrie - Geldströme offenlegen und kontrollieren! - Thomas Seitz - AfD-Fraktion im BT,https://www.youtube.com/watch?v=dOPw3dZGi3E,196,9991,2023-10-26,https://i.ytimg.com/vi/dOPw3dZGi3E/hq720.jpg
Die Bürokratie in unserem Land ist unerträglich! Dr. Christian Wirth - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=R0TM5Y2toT0,218,5582,2023-10-26,https://i.ytimg.com/vi/R0TM5Y2toT0/hq720.jpg
💥💶Strompreis: An Doppelmoral ist das nicht mehr zu überbieten! Bernd Schattner - AfD-Fraktion BT,https://www.youtube.com/watch?v=zPeGoXCHoMY,248,33952,2023-10-26,https://i.ytimg.com/vi/zPeGoXCHoMY/hq720.jpg
Deutschland moralisiert sich zu Tode! Jürgen Braun - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=svikkW9UK_g,256,38825,2023-10-25,https://i.ytimg.com/vi/svikkW9UK_g/hq720.jpg
Frieden für die Koreanische Halbinsel - Petr Bystron - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=VnVnNyZM0Pc,218,10148,2023-10-25,https://i.ytimg.com/vi/VnVnNyZM0Pc/hq720.jpg
🇩🇪🔥Deutschland brennt und Faeser macht Urlaub🏖 auf Mallorca! Martin Hess- AfD-Fraktions-TV🎙,https://www.youtube.com/watch?v=40ck02SuwzA,940,81035,2023-10-25,https://i.ytimg.com/vi/40ck02SuwzA/hq720.jpg
Dr. Rainer Kraft rechnet mit dem Wasserstoff-Märchen der🚦-Regierung ab! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=2RtmDlQL_OE,272,17568,2023-10-25,https://i.ytimg.com/vi/2RtmDlQL_OE/hq720.jpg
Es braucht den gleichgeschalteten Leviathan aus Brüssel nicht! Thomas Seitz AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=sQrGo5bLa7I,182,8255,2023-10-25,https://i.ytimg.com/vi/sQrGo5bLa7I/hq720.jpg
"Sie präsentieren eine parlamentarische Scharade!, Thomas Seitz - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=xwfR8tAZgD4,200,13002,2023-10-24,https://i.ytimg.com/vi/xwfR8tAZgD4/hq720.jpg
Wir als AfD stehen zu unseren Bauern! Frank Rinck - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=D_3qoQdKs2w,242,8064,2023-10-24,https://i.ytimg.com/vi/D_3qoQdKs2w/hq720.jpg
Die Ampel träumt weiter den Schlaf der Selbstgerechten… Rüdiger Lucassen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ZaEngBcgqSU,208,10355,2023-10-24,https://i.ytimg.com/vi/ZaEngBcgqSU/hq720.jpg
"Ampel-Politik: ignorant, dumm, böswillig - Karsten Hilse - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=xW9R9q6OC-w,214,42486,2023-10-24,https://i.ytimg.com/vi/xW9R9q6OC-w/hq720.jpg
Dieses Gesetz ist ein Etikettenschwindel! - Thomas Dietz - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=hlf6GXxNFpE,224,9262,2023-10-24,https://i.ytimg.com/vi/hlf6GXxNFpE/hq720.jpg
Das ist ein Offenbarungseid des Rechtsstaates! Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=DVAGTs8EKfw,220,28364,2023-10-23,https://i.ytimg.com/vi/DVAGTs8EKfw/hq720.jpg
Clubs in Wohngebieten? Den Linken ist die Ruhestörung egal! Roger Beckamp - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=C8iJH02jubY,180,14135,2023-10-23,https://i.ytimg.com/vi/C8iJH02jubY/hq720.jpg
Gut gemeint ist noch nicht gut gemacht!  - Jörn König - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=-jJtDFN6BCw,200,4667,2023-10-23,https://i.ytimg.com/vi/-jJtDFN6BCw/hq720.jpg
Die Regierung gefährdet Freiheit und Demokratie! - Jan Nolte - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=5wT6wxBqV4I,188,13453,2023-10-23,https://i.ytimg.com/vi/5wT6wxBqV4I/hq720.jpg
Feministische Reflexe? Baerbock und ihre lächerliche🚫 Außenpolitik… Steffen Kotré - AfD-Fraktion BT,https://www.youtube.com/watch?v=MofavBzDEX0,204,28118,2023-10-23,https://i.ytimg.com/vi/MofavBzDEX0/hq720.jpg
